·-----------------------------------------------------------------·
| Horario         | Lunes | Martes | Miércoles | Jueves | Viernes |
|-----------------|-------|--------|-----------|--------|---------|
| 07:30-08:30     |  01   |   15   |   29      |   43   |   57    |
| 08:30-09:30     |  02   |   16   |   30      |   44   |   58    |
| 09:30-10:30     |  03   |   17   |   31      |   45   |   59    |
| 11:30-12:30     |  04   |   18   |   32      |   46   |   60    |
| 12:30-13:30     |  05   |   19   |   33      |   47   |   61    |
| 13:30-14:30     |  06   |   20   |   34      |   48   |   62    |
| 14:30-15:30     |  07   |   21   |   35      |   49   |   63    |
| 15:30-16:30     |  08   |   22   |   36      |   50   |   64    |
| 16:30-17:30     |  09   |   23   |   37      |   51   |   65    |
| 17:30-18:30     |  10   |   24   |   38      |   52   |   66    |
| 18:30-19:30     |  11   |   25   |   39      |   53   |   67    |
| 19:30-20:30     |  12   |   26   |   40      |   54   |   68    |
| 20:30-21:30     |  13   |   27   |   41      |   55   |   69    |
| 21:30-22:30     |  14   |   28   |   42      |   56   |   70    |
·-----------------------------------------------------------------·
